,EstablishmentId,Summary
0,111850,"When you stay at NH Vienna Airport Conference Center in Schwechat, you'll be near the airport and within the vicinity of Central Cemetery and Neugebaude Castle. This 4-star hotel is within the region of Golf Club Leopoldsdorf and Gasometer.Rooms <br/>Make yourself at home in one of the 500 air-conditioned rooms featuring minibars. Complimentary wireless Internet access is available to keep you connected. Conveniences include direct-dial phones, as well as safes and desks.Rec, Spa, Premium Amenities <br/>Take advantage of recreational opportunities offered, including a sauna, a steam room, and a fitness facility. Additional features include wireless Internet access (surcharge), a television in the lobby, and tour/ticket assistance.Dining <br/>Enjoy a meal at a restaurant, or stay in and take advantage of the hotel's 24-hour room service."
1,111870,"Property Location <br/>With a stay at Enziana Hotel, you'll be centrally located in Vienna, walking distance from Botanical Garden of the University of Vienna and close to Belvedere. This 4-star hotel is within close proximity of Schwarzenbergplatz and ORF Centre Vienna.Rooms <br/>Make yourself at home in one of the 165 guestrooms featuring minibars. Conveniences include phones, as well as safes and wake-up calls.Rec, Spa, Premium Amenities <br/>Make use of convenient amenities, which include complimentary wireless Internet access and tour/ticket assistance."
2,111956,"Grand not only in name but also in comfort, style and location, the Warwick Brussels has become the premier hotel amongst refined Belgian visitors. By blending classic charm with luxury amenities that are expected from a Warwick Hotel, guests are treated to the feel of Old World elegance with the added convenience of modern accommodations. The Grand Place, Le Square Convention Centre and Manneken Pis are all but a stoneâ€™s throw from the hotelâ€™s doorstep, putting guests in the centre of Belgiumâ€™s awe-inspiring architecture and welcoming culture. Whether meeting for important business gatherings or a sumptuous Belgian weekend, itâ€™s all here. Welcome to the Warwick Brussels."
3,112159,"Arty. Cosy. Trendy. The 4 star Hotel Nâ€™vY is characterised by its state of mind. Located in the centre of Geneva and a stoneâ€™s throw from the lake, this oasis with its chic urban dÃ©cor is an open invitation to chill. Yes to the colour, the profusion of colour and the technology making everyoneâ€™s lives easier. Yes to its smell and sound design, both tailor-made, as well as to the signature staff dress code by Diesel. Yes to the bars and restaurant for a signature cocktail or a gourmet break. Yes to your every wish."
4,112165,"A blend of design and warmth, the 4 star Hotel Auteuil offers the perfect mix in the centre of Geneva. Pictures of the greatest movie stars and a unique collection of photographs welcome you to the lobby. Attentive service, the rooms with their contemporary atmosphere, the fitness area and its picture windows are all designed for your well-being. Come to the Auteuil to enjoy the city to the full."
5,112188,"A stay at NH Geneva City places you in the heart of Geneva, convenient to CICG Congress Centre and United Nations European Headquarters. This 4-star hotel is within close proximity of Grand Theatre Opera and Museum of Modern and Contemporary Art.Rooms <br/>Make yourself at home in one of the 70 air-conditioned rooms featuring minibars and flat-screen televisions. Rooms have private balconies. Complimentary wired and wireless Internet access keeps you connected, and satellite programming provides entertainment. Private bathrooms with shower/tub combinations feature complimentary toiletries and hair dryers.Rec, Spa, Premium Amenities <br/>Take advantage of recreation opportunities such as bicycles to rent or take in the view from a rooftop terrace and a terrace.Dining <br/>You can find a meal at a coffee shop/cafÃ© serving guests of NH Geneva City, or stop in at a snack bar/deli."
6,112311,"The Dolder Grand is the perfect environment for people who are looking <br/>for pleasure, exclusivity and Relaxation. 175 luxurious rooms and suites, <br/>exquisite cuisine, a spa covering 4,000 square metres, generous <br/>banqueting and seminar facilities and a remarkable art collection. The <br/>original Curhaus dating from 1899 presents itself anew as the luxury- <br/>class City Resort. Its elevated location, between the pulsating life of <br/>the city and a refreshingly natural green zone, provides a magnificent <br/>view of the city and lake of Zurich and the Alps."
7,112563,NH Prague City is a unique and modern hotel situated in two buildings connected by cable car and offering breathtaking views over this romantic and beautiful city. Among other facilities the hotel includes shops two business centres a health and fitness centre with a sauna steam bath and variety of massages on request a tennis court free shuttle bus to underground station disabled access and multi-storey car park. Savour a delicious the Mediterranean specialties at restaurant Il Giardino while enjoying its lovely garden terrace with stunning views over the historic centre of Prague.    NH Prague boasts 439 comfortable spacious and elegant rooms including 28 suites and 136 Executive rooms which are in the Executive Wing at the top of Smichov Hill and connected to the accommodation at the foot of the hill by cable car. All the Executive and Superior rooms as well as the Junior suites include a WI-FI Internet connection free of charge. All rooms have air-conditioning heating TV radio and a minibar.
8,113396,Le Meridien Heliopolis is a luxurious 5-star hotel conveniently located only 5.1km (3.2mi) from the centre of Cairo. Local tourist attractions such as Heliopolis and Egyptian Presidential Palace are not far from the hotel.
9,113828,"In a typical 1940s building of Barcelonaâ€™s Eixample district that still has its original facade and wrought iron gate, stands Ã�mister Art Hotel. After extensive restoration and renovation of this former family residence, its owners, collectors of contemporary art, decided to use it as an artistic space, a place to exhibit â€œArtâ€�.<br/>Ã�mister Art Hotel enjoys an exceptional location, a 20-minute walk from the centre of Barcelona, close to the trade fair and convention centre.<br/><br/>Ideal for discovering Barcelonaâ€™s most lively side, infiltrating the rhythm of its citizens, sometimes frantic, sometimes calm. Do as they do and rent a bicycle to get to the heart of the city in 10 minutes instead of taking the metro (2 stops, 15 minutes). Getting to know the modernist Barcelona of GaudÃ­, the Gothic Quarter, Las Ramblas or Passeig de Gracia is, at any time of day, a treat not to be missed<br/><br/>FREE BIKES SERVICE- Ask for a free bike at the Sercotel Ã�mister Art Hotel (subject to availability)"
10,113925,"Located in the Barcelona Gothic district, next to the cosmopolitan Born district and near the seafront, the H10 Montcada-Boutique Hotel is an emblematic building of the neoclassical style that typifies the Via Laietana Avenue. The modern, welcoming interior design in the rooms and reception areas make it ideal for pleasure and business trips. Its upper terrace has a Jacuzzi and excellent views over the city and the sea."
11,116350,"With a stay at Hotel Zenit Malaga in Malaga, you'll be convenient to Teatro Cervantes de Malaga and Picasso's Birthplace. This family-friendly hotel is within close proximity of Gibralfaro Castle and Picasso Museum Malaga.Rooms <br/>Make yourself at home in one of the 62 air-conditioned rooms featuring minibars and flat-screen televisions. Complimentary wireless Internet access keeps you connected, and digital programming is available for your entertainment. Bathrooms have bathtubs and bidets. Conveniences include phones, as well as safes and desks.Dining <br/>Enjoy a satisfying meal at a restaurant serving guests of Hotel Zenit Malaga. Buffet breakfasts are served in the restaurant for a fee.Business, Other Amenities <br/>Featured amenities include an Internet point, audiovisual equipment, and complimentary newspapers in the lobby. Planning an event in Malaga? This hotel has facilities measuring 969 square feet (90 square meters), including a meeting/conference room."
12,118482,"Stately, with the air of an era long gone, the Electra Palace Athens, hospitable and aristocratic, awaits to welcome you in the heart of the city. Classical in its architecture and design, blending beautifully with the noble historical buildings of the Plaka area, the hotelâ€™s elegant luxury is complemented by the majestic views of the Acropolis that can be enjoyed from the rooftop restaurant, pool, rooms and suites.<br/><br/>Marble-tiled bathrooms; soft duvets; Jacuzzi bathtubs; custom furniture; these are but a few of the details that make the Electra Palace Athens luxuriously enjoyable."
13,120208,"The NH Laguna Palace hotel is a striking, contemporary hotel in Venice-Mestre. This landmark building features one of the largest glass-covered structures in Europe. The hotel enjoys a great location 5 minutes from the Mestre train station, and is just a 10-minute drive from the cityâ€™s historical center. The hotel faces a marina, so youâ€™ve water access, too.<br/><br/>10 minutes from historical Veniceâ€™s sights<br/>5 minutes from the train station<br/>15-minute drive from Marco Polo Airport<br/><br/>The hotel has 376 modern guestrooms in 2 separate buildings. Rooms are tastefully furnished in shades of white, beige and black-brown. They come equipped with free Wi-Fi, a TV and a well-stocked minibar, as well as a desk for working.<br/><br/>apartments available for families<br/>Junior Suites have Lavazza coffee machines<br/>rooms have views of the street, plaza or marina<br/><br/>Our restaurant serves a wide range of regional and Italian dishes."
14,120417,"The Canifor Hotel is a four star hotel offering ample in house facilities including an attractive Reception Foyer with paid wi-fi access to the internet (in winter we provide free access to this wifi as a winter promotion), a Restaurant, Pizzeria and a Lounge Bar offering live entertainment five times a week and a big screen for sports. One can also find an attractive Indoor Pool (heated in winter), Outdoor Pool, as well as a Coffee Shop, Games Room, Sun Terrace with Jacuzzi, Sauna, Hairdressing and Massage facilities.<br/><br/>The Canifor hotel is situated just a few minutes away from the attractive Qawra promenade, on the northern coastline of Malta and is within easy access (50m) of the main bus terminus. The hotel is close to the hub of tourist activity, Shops, Restaurants, Bars, Pubs, etc.<br/><br/>Amenties: The hotel has 172 twin bedded Standard Rooms which are fully air-conditioned, bathroom ensuite, direct dialing telephone, wifi access at a small charge, radio, satellite TV, Safe and Mini Cooler."
15,120460,"db San Antonio Hotel + Spa, Malta, welcomes you to its newly refurbished Moorish style hotel in the heart of the Mediterranean Sea. It is one of the largest hotels in Malta, with 416 rooms and suites, variety of restaurants, bars, outdoor pools, fitness and Spa facilities.<br/><br/>The hotel is situated in the northern part of the Maltese Islands, right in the heart of Qawra, St. Paulâ€™s Bay. Sandy beach, bars, restaurants, casino, national aquarium, public transport, shops and all other amenities are at walking distance.<br/><br/>Rooms Facilities<br/><br/>Find comfort and brightness in our Standard Rooms which are decorated in a fresh, Mediterranean style complete with floor tiles. The Hotel offers twin/double rooms, family rooms and suites. All rooms have a balcony with the option of a sea view, pool view or inland view."
16,120526,The family-friendly Occidental Tucancun is ideally situated directly on the seemingly endless white sandy beach and enjoys fantastic views over the NichuptÃ© lagoon and the azure blue of the Caribbean Sea. The Kukulkan Plaza and La Isla shopping centres are only a few steps away; CancÃºn International Airport and the city centre can be reached within a 25 minutes' drive.<br/>* Some services at an extra charge
17,121013,"-	De Lâ€™Europe is synonymous with Dutch history and in walking distance of the lively museum quarter, shopping, entertainment and antique art district. Located along the Amstel River.<br/><br/>-	69 rooms and 42 suites, classical and contemporary design, includes a peerless 6-bedroom Penthouse Suite and the uniquely designed Provateur Suite.<br/><br/>-	All rooms and suites furnished with exact replica of Dutch Masters painting in partnership with the Rijksmuseum<br/><br/>-	In room state of the art technology such as interactive TVâ€™s, iPod docking station, Bose surround system, award winning COCO-MAT beds and spacious Arabesco-Carrara marble bathrooms<br/><br/>-	Restaurants & Bars<br/>o	Two Michelin starred Bordâ€™Eau Restaurant Gastronomique, fine dining experience led by Executive Chef Richard van Oostenbrugge. Private Dining available.<br/>o	Hoofdstad Brasserie, a casual chic brasserie serving traditional French classics with a modern, international twist. Awarded for their Bib Gourmand 3-course menu."
18,121073,"The NH City Centre Amsterdam hotel offers guests a gateway to the historic and beautiful Amsterdam. Located in the heart of the city and overlooking the Singel Canal, the hotel is only a very brief walk to the famous floating flower market, the powerfully moving Anne Frank House, the bustling Dam Square and countless shopping streets. A tram connects travelers to the myriad experiences and attractions that Amsterdam has to offer. Furthermore, the NH City Centre Amsterdam hotel is also extremely convenient for business travelers, as public transportation provides easy access to important hubs like the RAI Convention Center, Schiphol Airport, and the World Trade Center.<br/><br/>The NH City Centre Amsterdam hotel is comprised of 209 comfortable guest rooms, all of which feature impressive views of downtown Amsterdam or the Singel Canal. The NH City Centre Amsterdam offers a peaceful winter garden for all guests to enjoy as well as an elegant boardroom for those traveling on business."
19,121076,"Hotel in the greenest part of Amsterdam<br/><br/>The Lancaster Hotel Amsterdam is in the centre of Amsterdam, in Plantagebuurt, and is an ideal family hotel. This sociable neighbourhood on the east of the city has numerous great cafÃ©s and restaurants. Of course you shouldnâ€™t miss a visit to the areaâ€™s most well-known attraction: Artis Zoo. With tropical fish in the monumental Aquarium, giraffes, elephants and other small, large, loveable and exciting animals.<br/><br/>There are also various interesting museums in this greenest part of the city. Such as Tropenmuseum with special stories and objects from across the world, Hermitage Amsterdam with itâ€™s impressive exhibitions and Joods Historisch Museum. Also close to The Lancaster Amsterdam is Waterlooplein with itâ€™s legendary flee market."
20,121803,"Surrounded by cliffs and the Atlantic Ocean, Paul Do Mar Hotel   Is situated in the picturesque village of Paul do Mar that offers tranquility and an unforgettable sunset and warm and pleasant climate all year round.<br/>Paul Do Mar Sea View Hotel is ten-minutes driving from Western National Park of Madeira and 37 km away from Madeira Airport. It has the ideal location for levadas Walk, Scuba Diving or just swimming in the crystal clear waters of the Atlantic."
21,121846,"The Pestana Casino Park is part of the most emblematic tourist complex of Madeira Island, which includes the famous Casino da Madeira and Convention Centre. This hotel in Madeira is surrounded by 15,000 m2 of private gardens, where there is an abundance of open-air green spaces, century-old trees and typical plants of the island."
